simulation,selected_players,jaccard,tsf_optimum,tsf_baseline_reference,delta_tsf,tsf_baseline_perturbed,regret,orbit_open
138,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45749234091028124,0.4556941843506398,0.0017981565596414395,0.45749234091028124,0.0,1
139,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45589129920848503,0.4556941843506398,0.00019711485784523752,0.45589129920848503,0.0,1
140,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45590570267976005,0.4556941843506398,0.0002115183291202527,0.45590570267976005,0.0,1
141,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4551409009821301,0.4556941843506398,-0.0005532833685096827,0.4551409009821301,0.0,1
142,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4560333630768656,0.4556941843506398,0.00033917872622579726,0.4560333630768656,0.0,1
143,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4551403087814855,0.4556941843506398,-0.0005538755691543162,0.4551403087814855,0.0,1
144,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4550448778145598,0.4556941843506398,-0.0006493065360799744,0.4550448778145598,0.0,1
145,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45595407630741147,0.4556941843506398,0.000259891956771674,0.45595407630741147,0.0,1
146,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45609658434665556,0.4556941843506398,0.0004023999960157676,0.45609658434665556,0.0,1
147,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45525378736663424,0.4556941843506398,-0.00044039698400555327,0.45525378736663424,0.0,1
148,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.455478859747807,0.4556941843506398,-0.00021532460283280042,0.455478859747807,0.0,1
149,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4558459492174256,0.4556941843506398,0.00015176486678580847,0.4558459492174256,0.0,1
150,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45631416329169416,0.4556941843506398,0.0006199789410543666,0.45631416329169416,0.0,1
151,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45611657827278274,0.4556941843506398,0.00042239392214293847,0.45611657827278274,0.0,1
152,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4547921767625126,0.4556941843506398,-0.0009020075881271961,0.4547921767625126,0.0,1
153,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45490634529225005,0.4556941843506398,-0.0007878390583897499,0.45490634529225005,0.0,1
154,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45536135943672473,0.4556941843506398,-0.0003328249139150641,0.45536135943672473,0.0,1
155,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45535435453908857,0.4556941843506398,-0.0003398298115512288,0.45535435453908857,0.0,1
156,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4576070368719011,0.4556941843506398,0.0019128525212612768,0.4576070368719011,0.0,1
157,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4543981693536622,0.4556941843506398,-0.0012960149969776236,0.4543981693536622,0.0,1
158,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.456697012391174,0.4556941843506398,0.0010028280405341983,0.456697012391174,0.0,1
159,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45456138743245,0.4556941843506398,-0.0011327969181897934,0.45456138743245,0.0,1
160,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4552312363218022,0.4556941843506398,-0.00046294802883761754,0.4552312363218022,0.0,1
161,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4551797598591161,0.4556941843506398,-0.0005144244915237239,0.4551797598591161,0.0,1
162,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45576267716318786,0.4556941843506398,6.849281254805994e-05,0.45576267716318786,0.0,1
163,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45662130623457,0.4556941843506398,0.000927121883930182,0.45662130623457,0.0,1
164,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45597326127940907,0.4556941843506398,0.0002790769287692729,0.45597326127940907,0.0,1
165,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.45555419392276575,0.4556941843506398,-0.00013999042787404825,0.45555419392276575,0.0,1
166,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4552772518966799,0.4556941843506398,-0.0004169324539599062,0.4552772518966799,0.0,1
167,P1|P10|P11|P13|P14|P15|P16|P3|P5|P7|P8,1.0,0.4552167220394644,0.4556941843506398,-0.00047746231117540283,0.4552167220394644,0.0,1
